1453;Общая электротехника;2012-05-14 15:05:10.093
1452;Общая электротехника и электроника;2012-05-14 15:05:10.093
1776;Объектно-ориентированный анализ и программирование;2013-02-27 19:55:43.907
1189;Операционные системы;2012-05-14 15:00:02.670
1751;Оптимальные и адаптивные системы;2013-01-28 13:44:50.260
1494;Оптимизация технологических процессов;2012-05-14 15:05:13.607
1567;Организационно-производственные структуры технической эксплуатации;2012-05-14 15:06:14.480
1893;Организационно-экономическое проектирование инновационных процессов;2013-12-19 10:23:10.217
1786;Организация автомобильных перевозок и безопасность движения;2013-04-03 11:46:17.333
1394;Организация автомобильных перевозок;2012-05-14 15:05:05.640
1624;Организация автомобильных перевозок и безопасность транспортного процесса;2012-05-14 15:09:05.090
1947;Организация и планирование автоматизированных производств;2014-05-22 10:33:22.360
1277;Организация и планирование производства;2012-05-14 15:05:00.967
1784;Организация и технология испытаний;2013-04-02 14:55:22.087
1785;Организация и технология отрасли;2013-04-02 17:01:43.317
1222;Организация предпринимательской деятельности;2012-05-14 15:04:59.373
1484;Организация производства;2012-05-14 15:05:12.920
1463;Организация производства и менеджмент;2012-05-14 15:05:10.873
1391;Организация производства на предприятии отрасли;2012-05-14 15:05:05.357
1393;Организация производства на химическом предприятии;2012-05-14 15:05:05.357
1392;Организация производства, маркетинг и менеджмент на предприятии;2012-05-14 15:05:05.357
1525;Организация ЭВМ и систем;2012-05-14 15:05:19.403
1215;Организация, нормирование и оплата труда;2012-05-14 15:04:59.310
1400;Органическая химия;2012-05-14 15:05:05.780
1304;Основы аудита;2012-05-14 15:05:02.107
1271;Основы безопасности управления автомобилем;2012-05-14 15:05:00.670
1896;Основы бизнес-планирования;2013-12-19 10:44:17.407
1937;Основы биржевой торговли;2014-03-28 12:16:04.663
1537;Основы гидравлики и гидропривода;2012-05-14 15:05:24.653
1292;Основы графической информации;2012-05-14 15:05:01.357
1747;Основы концептуального проектирования систем;2013-01-26 10:09:58.353
1695;Основы логистики;2012-12-20 15:34:45.513
